node_index,score,label
0,0.3115078,0
1,0.5111956,0
2,0.53970176,0
3,0.41333967,0
4,0.45942694,0
5,0.53044057,0
6,0.51366824,0
7,0.64188427,0
8,0.45719114,0
9,0.48511323,0
10,0.45327306,0
11,0.65148425,0
12,0.38296336,0
13,0.6299393,0
14,0.7523257,0
15,0.25955176,0
16,0.41387454,0
17,0.45776248,0
18,0.5251555,0
19,0.5472684,0
20,0.4958339,0
21,0.55156446,0
22,0.5800068,0
23,0.32502225,0
24,0.52613103,0
25,0.3868782,0
26,0.540427,0
27,0.5210797,0
28,0.42002055,0
29,0.62273264,0
30,0.41577843,0
31,0.52372617,0
32,0.601879,0
33,0.297322,0
34,0.7819815,0
35,0.5144501,0
36,0.57424426,0
37,0.49955884,1
38,0.38757655,0
39,0.43588313,0
40,0.4956325,0
41,0.62848353,0
42,0.61105615,0
43,0.54556453,0
44,0.38609663,0
45,0.43787244,0
46,0.29199967,0
47,0.45820212,0
48,0.6208132,0
49,0.5017598,0
50,0.6712355,0
51,0.434943,0
52,0.6427791,0
53,0.434172,0
54,0.84722847,1
55,0.37778986,0
56,0.31908193,0
57,0.34128547,0
58,0.4302937,0
59,0.51256245,0
60,0.7220768,0
61,0.20977245,0
62,0.5101026,0
63,0.72995526,0
64,0.625626,0
65,0.4093079,0
66,0.56513464,0
67,0.418218,0
68,0.43277454,0
69,0.29769564,0
70,0.3320094,0
71,0.5933538,0
72,0.5852169,0
73,0.3495043,0
74,0.53725195,0
75,0.66185474,0
76,0.3964621,0
77,0.6719163,0
78,0.5916352,0
79,0.4435062,0
80,0.6893884,1
81,0.5321211,0
82,0.38227236,0
83,0.45610517,0
84,0.43139088,0
85,0.2832699,0
86,0.4498161,0
87,0.6129187,0
88,0.60026824,0
89,0.080457404,0
90,0.42333898,0
91,0.59067345,0
92,0.47651577,0
93,0.5769367,0
94,0.600288,0
95,0.1640381,0
96,0.42166772,0
97,0.4271345,0
98,0.41274083,0
99,0.37996095,0
100,0.6899638,0
101,0.7890798,1
102,0.22739063,0
103,0.2984974,0
104,0.46292698,0
105,0.5082266,0
106,0.12845121,0
107,0.39503226,0
108,0.40479958,0
109,0.6310516,0
110,0.50140804,0
111,0.5229611,0
112,0.5035812,0
113,0.38165328,0
114,0.51049775,0
115,0.39082962,0
116,0.35634983,0
117,0.607652,0
118,0.4407779,0
119,0.45964935,0
120,0.5377303,0
121,0.57382125,0
122,0.49495965,0
123,0.49173898,0
124,0.5096501,0
125,0.6124616,0
126,0.5335006,0
127,0.6049904,0
128,0.5245654,1
129,0.4487971,0
130,0.46781248,0
131,0.49445015,0
132,0.5271844,0
133,0.45253986,0
134,0.5926914,0
135,0.43773773,0
136,0.5252631,0
137,0.2726599,0
138,0.42990214,0
139,0.5414677,0
140,0.33152524,0
141,0.37654248,0
142,0.47492352,0
143,0.5395243,0
144,0.62737507,0
145,0.56621206,0
146,0.44776794,0
147,0.16459644,0
148,0.5800976,0
149,0.58505625,0
150,0.42322817,0
151,0.2778984,0
152,0.3228073,0
153,0.54929364,1
154,0.5998627,1
155,0.5154774,0
156,0.41416255,0
157,0.5444726,0
158,0.02071828,0
159,0.5079217,0
160,0.5245486,0
161,0.5021381,0
162,0.591554,0
163,0.4885205,0
164,0.59562284,0
165,0.43836117,0
166,0.5352192,0
167,0.34678468,0
168,0.5382906,0
169,0.33554772,0
170,0.3229109,0
171,0.43850958,0
172,0.6280272,0
173,0.48164922,0
174,0.48972005,0
175,0.2848134,0
176,0.73309726,1
177,0.6493503,0
178,0.6041867,0
179,0.4430422,0
180,0.48343432,0
181,0.299688,0
182,0.6129173,0
183,0.4510394,0
184,0.5643763,0
185,0.4018645,0
186,0.4540317,0
187,0.5711938,0
188,0.1528462,0
189,0.43206573,0
190,0.46878937,0
191,0.44503957,0
192,0.36128166,0
193,0.48499045,0
194,0.43787932,0
195,0.5790629,0
196,0.9171593,1
197,0.6059209,0
198,0.6336377,0
199,0.45703173,0
200,0.73902637,0
201,0.25915313,0
202,0.49045226,0
203,0.45876864,0
204,0.4435708,0
205,0.48401284,0
206,0.09223941,0
207,0.6195446,0
208,0.6144233,0
209,0.40596724,0
210,0.40600282,0
211,0.30061978,0
212,0.6194205,0
213,0.6099411,0
214,0.40020368,0
215,0.49392796,0
216,0.3763815,0
217,0.5389404,1
218,0.50260764,0
219,0.55030864,0
220,0.32653537,0
221,0.5140217,0
222,0.62875015,0
223,0.55871135,0
224,0.4770267,0
225,0.474326,0
226,0.5430697,1
227,0.2717578,0
228,0.63518053,0
229,0.52232546,0
230,0.2730761,0
231,0.42465365,0
232,0.45321023,0
233,0.6257189,1
234,0.49962184,0
235,0.5698435,0
236,0.4270623,0
237,0.31195495,0
238,0.3279059,0
239,0.46884057,0
240,0.3253515,0
241,0.63102424,0
242,0.30048177,0
243,0.084146425,0
244,0.3996537,0
245,0.46271017,0
246,0.42824963,0
247,0.88138324,1
248,0.6921986,0
249,0.4859494,0
250,0.5498445,0
251,0.6171163,0
252,0.53098655,0
253,0.36876124,0
254,0.83663654,0
255,0.3945468,0
256,0.5019131,0
257,0.3174753,0
258,0.46166337,0
259,0.5066011,0
260,0.47637665,0
261,0.39950934,0
262,0.46719813,0
263,0.57348335,0
264,0.4922789,0
265,0.5274286,0
266,0.43858722,0
267,0.5658156,0
268,0.45692122,0
269,0.47582445,0
270,0.5829382,0
271,0.44684502,0
272,0.41259047,0
273,0.4832831,0
274,0.40113243,0
275,0.8013386,0
276,0.745627,0
277,0.4381931,0
278,0.44916478,0
279,0.47485366,0
280,0.5325433,0
281,0.484828,0
282,0.3813078,0
283,0.46225572,0
284,0.47170407,0
285,0.6093792,0
286,0.4721717,0
287,0.4797959,0
288,0.4138585,0
289,0.65777004,0
290,0.4224453,0
291,0.593279,0
292,0.6230777,0
293,0.7236217,0
294,0.4308113,0
295,0.63307375,0
296,0.44237435,0
297,0.50927967,0
298,0.38626373,0
299,0.029515924,0
